feature,importance
"format_Vinyl, 12"", Limited Edition, Unofficial Release, Box Set, Compilation, Limited Edition",0.00018422089172139212
"format_Vinyl, 12"", Single Sided, White Label",0.0001815595902052219
"style_Jungle, Techno, Breakbeat, Acid, Freetekno",0.00018107216303039501
country_Mexico,0.000175921632574378
"style_Glitch, Tech House, Dub Techno",0.0001742045690549339
"style_Grindcore, Techno, Noise, Gabber, J-Core",0.0001735672254539216
"format_Vinyl, 12"", 33 ⅓ RPM, White Label, Test Pressing",0.00017315907399811733
"style_Techno, Punk",0.0001718741954140503
country_Slovakia,0.00017051123185574094
"style_IDM, Experimental, Glitch, Techno, Electro",0.00016956133731224783
"format_Vinyl, 12"", 33 ⅓ RPM, Single, Stereo",0.00016864799621400909
"format_Vinyl, 10""",0.00016714848507850595
"style_Alternative Rock, Freestyle, House, Pop Rap, Techno, Euro House",0.00016386172008635037
"genre_Electronic, Pop",0.0001634073709661558
"format_Vinyl, LP, Album, Stereo, Vinyl, 12"", 45 RPM, Limited Edition, Single",0.00016066174322769392
"style_Abstract, Techno, Minimal",0.0001588803751273151
"format_Vinyl, 12"", White Label, Promo, 33 ⅓ RPM",0.00015830956738987836
"style_Trance, Techno, Acid",0.00015731043611897448
"style_EBM, Techno",0.00015726443559312426
"format_Vinyl, 12"", Single, White Label",0.00015683872703149004
"format_Vinyl, 12"", 45 RPM, EP",0.00015649622575202376
"style_Techno, Latin, Tribal House, House",0.00015637898345321203
"style_Breakbeat, House, Techno",0.00015424873302464026
"format_Vinyl, 12"", Promo, White Label, EP",0.00015376687804676732
"format_Vinyl, 7"", 33 ⅓ RPM, Single",0.00015369988217471707
"style_House, Techno, Bleep",0.00015340120976649012
"style_Techno, Hard Techno",0.00015334360088563643
"style_Abstract, Techno, Electro, Freetekno",0.00015098302485887815
"format_Vinyl, 12"", EP, Promo, White Label, Stereo",0.00015097609018556915
"style_Techno, Electro, Breaks",0.00015060143053002807
"style_Techno, Downtempo, Latin",0.00014805449613088554
"format_Vinyl, 12"", 33 ⅓ RPM, 45 RPM, Reissue",0.00014724284956798108
"style_Progressive House, Techno, Tech House",0.00014542340585922746
"style_House, Techno, Electro",0.00014525937786216835
"format_Vinyl, LP, Album, Vinyl, 12"", Promo, All Media, Limited Edition",0.00014506068594624796
country_Turkey,0.00014491786926848306
"style_Techno, Breakbeat, Trance",0.00014282899050827377
"format_Vinyl, 12"", Stereo",0.00014268590299468785
"style_Abstract, Techno, Experimental",0.00014202813876169703
"style_IDM, Minimal Techno, Abstract",0.00014179959651049355
"style_Deep House, Minimal, Tech House, Minimal Techno",0.00014106215310176186
"format_Vinyl, 12"", White Label, EP",0.00014003852082710412
"style_Hard House, Techno",0.00013905430057961727
"style_Hardcore, Techno, Acid, Breakbeat",0.00013757719362406193
"style_House, Techno, Electro, Tech House",0.00013572180136076317
"style_Hard Trance, Techno",0.00013527611676402684
"style_Hard Techno, Schranz",0.00013375629870653787
"style_Techno, Dub Techno",0.00013203257899021656
"style_Hip-House, Techno",0.00013164663407308545
country_Peru,0.00013145298358552293
"format_Vinyl, 12"", 33 ⅓ RPM, Maxi-Single",0.00013051464689752253
"format_Vinyl, 12"", Maxi-Single",0.00012918615671769404
"format_Vinyl, LP, Compilation, Limited Edition, Numbered",0.00012859608934984014
"style_Abstract, Techno",0.00012832706661977103
"style_Tribal House, Tech House, Techno",0.0001276763717531295
"style_Techno, Tribal House, Bleep",0.00012691097053193313
"style_Deep House, Tech House, Techno",0.00012627906297661297
"style_Trance, Techno, Hard Trance",0.00012619395134184385
"style_Techno, Breakbeat, House, Contemporary R&B, K-pop",0.00012578368951083325
"style_House, Techno, Tech House",0.00012498761021347818
"format_Vinyl, 12"", 33 ⅓ RPM, White Label, Promo",0.00012459370905251344
"style_Breaks, Techno, Hardstyle",0.00012344612792873356
"style_Breakbeat, Techno, Hardcore",0.00012319341427478948
"style_Techno, Minimal Techno",0.00012294187052580652
"format_Vinyl, 12"", 33 ⅓ RPM, Single",0.00012243556886882323
"format_Vinyl, 12"", 33 ⅓ RPM, 45 RPM, White Label",0.00012182651522687734
"format_Vinyl, 12"", EP, 33 ⅓ RPM, 45 RPM, White Label",0.00012174438431636231
"style_Deep House, Techno",0.0001216348617180957
"style_House, Techno, Trance",0.00012039863133137347
"format_Vinyl, 12"", 33 ⅓ RPM, Single, Limited Edition, White Label",0.00012030488407373198
"style_Hardcore, Breakbeat, Jungle, Techno",0.0001201947023787446
"format_Vinyl, LP, Compilation, White Label",0.00011948119372417898
"format_Vinyl, 12"", Album, Promo, White Label",0.00011930020254552662
"genre_Electronic, Funk / Soul, Pop",0.00011816821208366379
"style_Hardcore, Techno, Hard Trance",0.00011772888872806789
"format_Vinyl, 12"", 33 ⅓ RPM, Remastered",0.0001168238267309104
"format_Vinyl, 12"", 33 ⅓ RPM, Compilation",0.00011639330497858577
"format_Vinyl, 12"", EP, White Label, Promo",0.00011636610421980225
"style_Trance, Techno, Electro",0.00011526459876424539
"format_Vinyl, LP, Album, Limited Edition, Promo",0.0001145798756927056
"format_Vinyl, 12"", Misprint, 33 ⅓ RPM",0.00011426554915982928
"style_Breakbeat, Trance, Techno, Acid",0.00011326487602896281
"format_Vinyl, 12"", 45 RPM, Limited Edition, Promo, White Label",0.00011254940114259142
country_Ireland,0.00011253364384737334
"format_Vinyl, LP, Compilation, Partially Mixed",0.00011111076713271304
"format_Vinyl, 7"", 45 RPM, Picture Disc",0.00011077341203038281
"style_Hardcore, Gabber, Acid, Hard Trance, Techno",0.00011068934790764964
"style_Techno, Bleep",0.00011055303777225696
"genre_Electronic, Hip Hop, Rock, Pop, Folk, World, & Country",0.00010963641758772504
